name,avg,marks,exam
a4caad5d8c5a6f893d8c3d6a4c6ed3dc,4.392485119047619,46,False
9824f6017d06963fa092e108694ced19,4.135416666666667,38,False
b2f33509997422933c2c99348385f68d,3.122916666666667,12,False
6b738f33e159910bb1b2240a6152851c,4.321875,28,False
7ce2e0ac8b2ede881c65d8b60aa55b7d,3.8494318181818183,31,False
b437e70c64c6ef0c35d310762c69028f,2.8541666666666665,25,False
9ee36592f891f1ec5a956633ac5e4491,3.9236607142857145,28,False
ee2e9a7173cee82d38de94b4478f219e,4.449337121212121,29,False
762191854aff3030d0746c537fa25ce5,3.0455357142857142,17,False
515dea602dfe374dbe2098b4cff44a97,3.9614583333333333,19,False
918f89c25787dda8138e5ec29f461b12,3.8963068181818183,28,False
6a401fc73d281f123cd5b66367af18ef,2.55,25,False
b4411d1af1c3646a7783408ad68816f3,2.522321428571429,21,False
0788400ed6bdd96448005cfe58a3541a,4.416666666666666,42,False
bf7ed584a44e1ab60faabda489e35f9d,2.9944444444444445,27,False
869a5231e726fd75c03177ca99aec910,4.316666666666666,17,False
f19c6817c86df4ecea95274b94d178da,4.225649350649351,36,False
96c85f7d9e6829fb763532b5971d3d92,3.7291666666666665,18,False
11f960f29213688834620ca605438aee,3.5404761904761903,30,False
a24dffebbc21190905f8491aee6f552e,3.272402597402597,29,False
49a29f23e149a9ba3d966dd93649a344,2.930357142857143,24,False
5b3d65340ba45c3491ac723a4de7b3ce,3.692857142857143,20,False
5b7bf1c05d862640cea3707c991b9314,3.55625,18,False
13a6235bc4077ae47b12f1e8f7b44c02,2.9910714285714284,22,False
f92c07e1358249a9f0ace27883376359,3.145833333333333,20,False
e60e217121faa7b0a98354533bbf7c41,3.3229166666666665,17,False
31ea9ba00710bc7c87bebaf6c24aeb8c,2.982142857142857,13,False
0446d3a2b4e16f8dbc6f3336482d35d3,2.138888888888889,13,False
6f0b35932ea749bca7e56476af9ceb8b,3.3642857142857143,17,False
0903a50dfef75535d0c840bae0917eb6,1.7976190476190474,13,False
4a515f3c03eb6b4b7b18e7bb9fd3d5f1,3.1607142857142856,15,False
93b768b88ac6ff97ecaa37137a377353,2.8928571428571432,14,False
f652778c5be25740e483f1c0e9a123db,3.638888888888889,14,False
f1ba7f3eec2857bf161d07f9439be6f4,2.53125,15,False
0d34faa0c541676358d0d91862cfb06e,2.5833333333333335,12,False
1cf77de5bbaf57ac5a82cd451f42040c,1.8611111111111112,13,False
3eaf85ddc251fbcc2376529a11a2af74,3.678571428571429,17,False
fe7488605f08a87b9d61d16954b82ea9,3.294642857142857,15,False
511997ce647bb1a55dac6ac09b6c5716,1.875,10,False
28db9f6194988e508d4b9fb4f429a5f1,2.783333333333333,11,False
6fc56401e2e27c6fa7ee0b2d605b56a5,2.7738095238095237,16,False
e50abc9dabf75424f0b45a393eebaf4e,3.45,14,False
1a686e5ec5a14fa6c9b85c32a2664fd0,3.5,14,False
911129d31bb01444c6bbc9e1efba848b,3.625,13,False
e60e217121faa7b0a98354533bbf7c41,4.1875,7,False
31ea9ba00710bc7c87bebaf6c24aeb8c,3.375,11,False
0446d3a2b4e16f8dbc6f3336482d35d3,2.9375,9,False
6f0b35932ea749bca7e56476af9ceb8b,3.9916666666666667,16,False
0903a50dfef75535d0c840bae0917eb6,2.1041666666666665,7,False
4a515f3c03eb6b4b7b18e7bb9fd3d5f1,3.583333333333333,9,False
93b768b88ac6ff97ecaa37137a377353,3.5666666666666664,10,False
f652778c5be25740e483f1c0e9a123db,4.2625,10,False
