name,avg,marks,exam,fin_avg,absent,num_5,num_4,num_3,num_2
f918936b21f6e73fa3fa717fcb91dd83,4.597222222222222,25,False,4.875,9,13,11,1,0
89ba7d54f1c54ec30e3f1d72c09d7f2c,4.333333333333334,22,4,4.0,5,6,12,4,0
b49fe8c02c04c589ceaf7fe405b129b5,3.9958333333333336,23,False,3.875,1,6,10,5,2
c4ed4471538dd4122016aed15ea5fd78,3.5388888888888888,21,3,3.75,12,3,9,7,2
ecdc90303da2bb3869905378aaec0494,3.9833333333333334,29,3,3.875,9,6,15,6,2
303ba31b711c1cc44ee4d7163e5735af,4.101190476190476,16,False,4.0,20,4,11,1,0
cc374b1cd45d1de981d34ffc7f177cbd,4.948660714285714,34,False,5.0,6,32,2,0,0
36122047f1eca5195038e8f92fe6603b,4.825396825396826,24,5,5.0,7,20,4,0,0
06cdbf039036af3518ae5c662be90ba2,4.055208333333333,22,False,4.0,8,3,13,2,4
b48f1f62d9dff634ad820233c82d9dfe,4.584077380952381,32,False,5.0,1,22,8,2,0
d8105036f67526f12efa591aa239cf88,4.861489898989899,39,4,4.875,3,32,6,1,0
73bde23bd6600bcac410398cd040b392,4.833333333333333,26,5,5.0,17,24,2,0,0
da8f55753c50b7ce5864472b28282366,4.572916666666666,29,False,5.0,7,19,10,0,0
518a45cc991260794b3911773b5d6e2a,3.8354166666666667,21,4,3.875,8,2,13,4,2
87b932ecb87d914ad451c5dfb8b9011f,4.3,25,False,4.0,5,9,11,5,0
204ff99a59ee8c67e1764665b1463ac3,4.954545454545455,37,False,5.0,5,33,4,0,0
4026e9c7b6ef3d886517ab42c9b91c32,3.7541666666666664,18,False,3.25,15,3,6,6,3
eaeafcc9981650b5cc0588e0748fc384,4.105654761904762,20,False,4.125,11,7,8,4,1
94496e3292a61b803f10da463f94214a,3.708333333333333,18,False,3.875,2,2,9,6,1
33bfc6c1eeb0ef1a42e45dc81554f867,4.84047619047619,25,False,5.0,5,20,5,0,0
479dbd4aaaba2cfe13d945818b6d0c7f,4.5928571428571425,24,False,5.0,9,15,8,1,0
3b3c8a199a894db6a0c6154d0344f67a,4.5018939393939394,28,False,4.875,7,16,9,3,0
42e5721032d609f656bb9119d564e3f0,3.207291666666667,28,False,3.0625,17,0,9,17,2
abccda2ef17a56d2e9c38f377c299ddc,4.680555555555555,38,4,4.5375,1,23,13,2,0
4fb03b262b48cacde790a99a81a91469,2.619791666666667,14,3,3.0,43,0,1,7,6
21fa78d4afc2a4b1c808265abb3074f3,3.9833333333333334,27,4,3.875,13,3,20,3,1
21d69a152c703dcd1abe7e8b277f7d22,2.8958333333333335,12,False,2.75,40,0,0,7,5
8764861d1244bad8d5c2343c1aeee73b,2.4875,13,False,2.875,37,1,2,5,5
6792909bbdd98ce074d2104764e53eb8,2.9125,22,False,3.0,29,1,2,12,7
0782771c4a35face6f3a359f46389fec,4.369047619047619,31,5,4.5625,14,18,12,0,1
f0c55d7d8947e517cb67511dfcffeaf0,4.622767857142858,34,4,4.8125,11,20,11,3,0
78e5a8095b243ce7476b8799bb2f98d0,4.867559523809524,28,False,4.9375,17,21,7,0,0
2ae6be7766e92f41ceb5306fa04028ad,2.6291666666666664,29,False,2.75,16,1,0,13,15
ca8b5397a015e0f01e70bfb95744b7b2,2.7916666666666665,11,False,3.0,41,0,0,8,3
00ef8c8eb1b89ef6048a15dad6d2f605,2.618551587301587,31,False,2.625,9,0,1,15,15
89d15f0c52218b58a4a6e1ee5550f5a4,2.651736111111111,32,False,3.0,4,0,1,15,16
d5a67af060cf092edd6f3e5e082498bd,4.144345238095238,27,False,4.125,14,5,16,6,0
68f7f13af8b3464c2ab4aaa16adce85a,3.8511904761904763,30,3,3.0,14,3,13,12,2
153b1a732110be8d75e6d439e25569d6,2.521577380952381,19,3,2.625,26,0,3,5,11
f41e018147609a256bf877dde415873b,2.9229166666666666,25,False,3.0,17,0,5,14,6
aee43503fa43bc98f068c8ebe39afbb1,3.8642113095238093,28,4,3.75,17,8,12,7,1
bdda2f968776f578c2ae270216027e82,4.580952380952381,23,False,4.75,26,13,10,0,0
73ac61fd95f22f0df4a6fed5b2cf2f72,2.8551587301587302,32,False,3.0,13,0,2,22,8
c93ce49065976b15d33789cdbf58f514,0,0,4,4.25,0,0,0,0,0
790231af4c89bc43a9a254a02975e889,0,0,False,3.0,0,0,0,0,0
f9978552790897e973818371156a7a0a,3.4604166666666667,24,False,3.125,10,2,8,13,1
8eeb9e9c3d584cf9ab06f9b3409009d4,4.052083333333334,19,False,4.0,15,1,17,1,0
62a389ff40b5f07adf29162ca36b37ec,2.805952380952381,23,False,3.0,4,0,0,18,5
b15b686ccba07dad6e66f8af53af447a,2.8916666666666666,23,False,3.0,3,0,1,17,5
a60704352b1493e9e4561dc581a415e1,4.45,20,False,4.875,8,9,9,2,0
71a5675c4e59902a5c195decbc365644,4.807142857142857,24,False,5.0,5,19,5,0,0
578342bbe80a1edf3af389afaef97955,4.788392857142857,20,False,5.0,6,16,4,0,0
831afe768050cab9849a8798e9e9eab0,4.525,19,False,4.125,7,9,10,0,0
2a18a1b13f44442209bd54b810d506da,4.503125,23,False,4.25,2,10,12,1,0
d1aae74ed5479cdaf584814e23e6a33f,2.8208333333333333,22,3,3.0,8,2,2,10,8
36e2db6862ebb4fd769f0ad00a8e55e3,4.975,18,False,5.0,12,17,1,0,0
9a19a4829e3c96483991d38ca5f70c49,3.6166666666666663,20,False,3.875,12,3,9,6,2
e9e2bf0833cc7ab6037e0ce4fc12bbf9,4.826488095238094,26,False,5.0,14,21,5,0,0
a94c3e090a7ba42ee97609bcbe445bf4,4.125,19,False,4.0,10,3,15,1,0
4f1f808b9e15dc7d044ae977a64ab2d3,3.805952380952381,23,False,4.0,9,1,16,6,0
fabc945b89840eda8e6b026e5ee4fdfa,3.583333333333333,22,4,3.875,4,2,11,7,2
f04f26186f53cd2ebd7c677d15836297,3.142857142857143,22,False,3.0,8,0,5,14,3
bf8c29ef32ab5bc890003be509455416,4.645833333333333,22,False,4.875,7,14,8,0,0
7917529895ad624c8362875f547bcf02,3.458333333333333,14,False,3.125,23,1,5,8,0
f307e1ae7b394bba8df231f4128fbdd8,3.7,22,4,3.875,3,1,13,8,0
3c4f13e9b56f19379641a2f9f8902131,4.416666666666666,16,5,4.458333333333334,21,6,8,2,0
3dfb0495cf63f6aa25fc5876dc978d3e,2.9821428571428568,23,False,2.875,11,1,1,14,7
a82182397f71c0e607269d4fa9b2041e,4.735416666666666,20,False,4.875,4,13,7,0,0
6190774db670cc0545602a739cc3c0f5,3.66875,17,4,3.875,18,2,8,7,0
a2d9c82c516e88729a0cd1d0fcf4d130,4.129166666666666,21,False,4.0,7,3,18,0,0
d1d56f09927416b41b53613ee058ea89,3.4732142857142856,20,4,3.875,8,0,11,8,1
1d5c9220fd04ee6f58668389fe6d4072,2.8589285714285713,23,4,3.333333333333333,7,1,2,14,6
92dad094bb3f24a16036f54e868d492c,3.071428571428571,31,False,3.0,3,1,4,22,4
0023f75ba5f954a7c66169d17a06ea3a,3.806547619047619,22,4,4.0,8,2,13,5,2
a3af6c76f41db18e337d6799429562ee,3.4884920634920635,26,3,3.375,8,3,7,15,1
6f22760d08b168eb07735313521567db,3.8083333333333336,19,False,4.0,13,4,7,7,1
6b616d408f099f54e03a0fd2973178af,3.3482142857142856,25,4,3.5,11,1,10,12,2
49d7656fd3576c0ed4b7cf4db3886e59,3.7680555555555557,24,4,4.0,14,2,16,4,2
