name,avg,marks,exam
a4caad5d8c5a6f893d8c3d6a4c6ed3dc,4.0285714285714285,14,False
9824f6017d06963fa092e108694ced19,3.357142857142857,12,False
b2f33509997422933c2c99348385f68d,3.0625,10,False
6b738f33e159910bb1b2240a6152851c,3.479166666666667,12,False
7ce2e0ac8b2ede881c65d8b60aa55b7d,3.408333333333333,10,False
b437e70c64c6ef0c35d310762c69028f,3.21875,10,False
9ee36592f891f1ec5a956633ac5e4491,4.183333333333334,9,False
ee2e9a7173cee82d38de94b4478f219e,4.25,9,False
762191854aff3030d0746c537fa25ce5,3.821428571428571,13,False
515dea602dfe374dbe2098b4cff44a97,4.2625,11,False
918f89c25787dda8138e5ec29f461b12,3.7767857142857144,12,False
6a401fc73d281f123cd5b66367af18ef,3.36875,10,False
b4411d1af1c3646a7783408ad68816f3,3.3083333333333336,9,False
0788400ed6bdd96448005cfe58a3541a,4.0625,10,False
bf7ed584a44e1ab60faabda489e35f9d,3.46875,10,False
869a5231e726fd75c03177ca99aec910,3.525,10,False
f19c6817c86df4ecea95274b94d178da,4.271428571428571,13,False
96c85f7d9e6829fb763532b5971d3d92,3.65625,9,False
11f960f29213688834620ca605438aee,3.6083333333333334,10,False
a24dffebbc21190905f8491aee6f552e,3.789285714285714,13,False
49a29f23e149a9ba3d966dd93649a344,3.4166666666666665,9,False
5b3d65340ba45c3491ac723a4de7b3ce,3.55,9,False
5b7bf1c05d862640cea3707c991b9314,3.55,11,False
13a6235bc4077ae47b12f1e8f7b44c02,3.625,10,False
f92c07e1358249a9f0ace27883376359,3.977678571428571,17,False
e60e217121faa7b0a98354533bbf7c41,2.7,11,False
31ea9ba00710bc7c87bebaf6c24aeb8c,3.5208333333333335,7,False
0446d3a2b4e16f8dbc6f3336482d35d3,1.8541666666666667,7,False
6f0b35932ea749bca7e56476af9ceb8b,3.4583333333333335,7,False
0903a50dfef75535d0c840bae0917eb6,2.25,9,False
4a515f3c03eb6b4b7b18e7bb9fd3d5f1,2.9375,6,False
93b768b88ac6ff97ecaa37137a377353,2.770833333333333,7,False
f652778c5be25740e483f1c0e9a123db,2.833333333333333,5,False
f1ba7f3eec2857bf161d07f9439be6f4,2.3333333333333335,5,False
0d34faa0c541676358d0d91862cfb06e,2.3,8,False
1cf77de5bbaf57ac5a82cd451f42040c,1.875,3,False
3eaf85ddc251fbcc2376529a11a2af74,3.3833333333333337,8,False
fe7488605f08a87b9d61d16954b82ea9,3.125,6,False
511997ce647bb1a55dac6ac09b6c5716,2.375,7,False
28db9f6194988e508d4b9fb4f429a5f1,2.375,4,False
6fc56401e2e27c6fa7ee0b2d605b56a5,2.033333333333333,8,False
e50abc9dabf75424f0b45a393eebaf4e,3.375,9,False
1a686e5ec5a14fa6c9b85c32a2664fd0,3.333333333333333,5,False
911129d31bb01444c6bbc9e1efba848b,3.4375,8,False
e60e217121faa7b0a98354533bbf7c41,2.0,1,False
31ea9ba00710bc7c87bebaf6c24aeb8c,2.3333333333333335,3,False
0446d3a2b4e16f8dbc6f3336482d35d3,1.5,2,False
6f0b35932ea749bca7e56476af9ceb8b,2.5,2,False
0903a50dfef75535d0c840bae0917eb6,1.25,2,False
4a515f3c03eb6b4b7b18e7bb9fd3d5f1,2.0,2,False
93b768b88ac6ff97ecaa37137a377353,2.0,2,False
f652778c5be25740e483f1c0e9a123db,2.5,1,False
f1ba7f3eec2857bf161d07f9439be6f4,1.5,3,False
0d34faa0c541676358d0d91862cfb06e,1.625,4,False
1cf77de5bbaf57ac5a82cd451f42040c,1.5,3,False
3eaf85ddc251fbcc2376529a11a2af74,2.0,4,False
fe7488605f08a87b9d61d16954b82ea9,2.1666666666666665,3,False
511997ce647bb1a55dac6ac09b6c5716,1.75,2,False
28db9f6194988e508d4b9fb4f429a5f1,2.0,4,False
6fc56401e2e27c6fa7ee0b2d605b56a5,1.1666666666666667,3,False
e50abc9dabf75424f0b45a393eebaf4e,2.1666666666666665,3,False
1a686e5ec5a14fa6c9b85c32a2664fd0,2.0,3,False
911129d31bb01444c6bbc9e1efba848b,2.1666666666666665,3,False
c1aacbadf1a38034ac0930428bb68fff,4.285714285714286,16,False
a57d8f1aef7b74d097df68f9bd06e322,2.7,10,False
6180e825789e7ae364aee32dc9317e82,3.4375,10,False
f9e0d9fd1e0afb9b08919b32b3f68cea,2.821428571428571,15,False
3352e95a2ec0ee9a293cc870cd32a00e,4.375,17,False
3bf7bb78d00f8e715c26468723c13059,3.5083333333333333,12,False
cb38c8cbdd1b60a72604d6f5e0c3b02d,4.225,10,False
b629338c705c6337b9849eb74996b9e0,4.308035714285714,17,False
7a45173aa29f06e9c826a8a598c87917,3.7285714285714286,13,False
31e4273d0f0868bc93fc4ed15adb8ae8,2.533333333333333,11,False
6926826db224cd670b3f3d016eabd6d2,3.125,11,False
f216d91d20aa7bd83dc9eac709439992,2.716666666666667,11,False
8cf13e88ced413b3744d70209e1251d4,2.35,9,False
55db4b4893174032bfe0d630639ea9e5,2.625,12,False
87e3f5906af991b464f40c260d3a3f56,4.275,11,False
ce0b035182bc42f7444e47d1ea0239ef,3.818452380952381,14,False
a6723a5d3c748fcc65b8aecfda56ec1d,2.732142857142857,11,False
76b8ea731d293b61c26e00ca8282d502,3.175,10,False
7a8b09f616dd7b9d7f0916208571cc4d,3.5,10,False
3ae8aac64c0222dcec94acc25c14807e,3.166666666666667,7,False
0435f0713156ca8dd306cd761b176f79,3.0,13,False
0318fac201f2310da568eb2ead2bc71a,2.770833333333333,10,False
c8e3c516715628595ca0a1d364726aae,2.2430555555555554,13,False
5986cbd9b0a5d1fea5c476b1635f66df,2.928571428571429,13,False
88eda369a889a30474e729c047a28e7b,3.84375,12,False
