name,avg,marks,exam,fin_avg,absent,num_5,num_4,num_3,num_2
f918936b21f6e73fa3fa717fcb91dd83,4.2875,16,False,4.125,2,8,8,0,0
89ba7d54f1c54ec30e3f1d72c09d7f2c,3.6333333333333333,15,False,3.75,2,2,6,7,0
b49fe8c02c04c589ceaf7fe405b129b5,3.2907738095238095,19,False,3.125,3,2,8,6,3
ca6e69b062ff81a221d5616bd6153bf9,3.125,14,False,3.0,13,1,3,8,2
ecdc90303da2bb3869905378aaec0494,2.9875,15,False,3.0,3,0,2,11,2
303ba31b711c1cc44ee4d7163e5735af,4.232142857142858,17,False,4.125,20,7,7,2,1
cc374b1cd45d1de981d34ffc7f177cbd,4.986111111111111,27,False,5.0,10,26,1,0,0
36122047f1eca5195038e8f92fe6603b,4.75,23,False,5.0,8,19,4,0,0
06cdbf039036af3518ae5c662be90ba2,3.3020833333333335,16,False,3.125,7,3,4,7,2
9333ce6604fb0d3f282053af87702fff,2.75,9,False,2.5,19,0,0,6,3
b48f1f62d9dff634ad820233c82d9dfe,4.7,23,False,5.0,5,20,3,0,0
d8105036f67526f12efa591aa239cf88,4.848611111111111,29,False,5.0,4,26,3,0,0
73bde23bd6600bcac410398cd040b392,3.2142857142857144,17,False,3.75,15,5,3,6,3
da8f55753c50b7ce5864472b28282366,4.652083333333334,17,False,4.125,5,12,4,1,0
518a45cc991260794b3911773b5d6e2a,3.2083333333333335,11,False,3.0,8,0,3,7,1
87b932ecb87d914ad451c5dfb8b9011f,4.058333333333334,16,False,4.0,5,7,5,2,2
204ff99a59ee8c67e1764665b1463ac3,5.0,28,False,5.0,9,28,0,0,0
4026e9c7b6ef3d886517ab42c9b91c32,3.775,13,False,3.25,14,1,6,5,1
eaeafcc9981650b5cc0588e0748fc384,4.0625,22,False,4.0,6,7,11,4,0
94496e3292a61b803f10da463f94214a,3.5979166666666664,16,False,3.75,4,5,5,5,1
33bfc6c1eeb0ef1a42e45dc81554f867,4.19375,18,False,4.0,3,7,7,4,0
479dbd4aaaba2cfe13d945818b6d0c7f,4.479761904761904,18,False,4.125,10,11,6,1,0
c23c6f3afb47830b08149d42d869a330,2.833333333333333,12,False,3.0,12,0,2,7,3
3b3c8a199a894db6a0c6154d0344f67a,3.0,14,False,3.0,10,0,2,11,1
42e5721032d609f656bb9119d564e3f0,2.625,6,False,3.0,3,0,0,4,2
abccda2ef17a56d2e9c38f377c299ddc,3.772619047619048,31,False,3.833333333333333,2,0,23,8,0
4fb03b262b48cacde790a99a81a91469,2.833333333333333,4,False,3.0,10,0,0,3,1
21fa78d4afc2a4b1c808265abb3074f3,3.4495535714285714,26,False,3.75,17,0,15,10,1
21d69a152c703dcd1abe7e8b277f7d22,3.0,3,False,3.0,15,0,0,3,0
6792909bbdd98ce074d2104764e53eb8,2.8916666666666666,16,False,2.9375,19,0,0,13,3
0782771c4a35face6f3a359f46389fec,4.20625,30,False,4.125,5,5,23,2,0
f0c55d7d8947e517cb67511dfcffeaf0,4.349702380952381,36,False,4.083333333333333,7,11,21,4,0
78e5a8095b243ce7476b8799bb2f98d0,4.49375,18,False,4.708333333333334,10,9,9,0,0
2ae6be7766e92f41ceb5306fa04028ad,2.66875,23,False,2.75,8,0,0,13,10
ca8b5397a015e0f01e70bfb95744b7b2,2.8697916666666665,15,False,3.0,17,0,0,12,3
00ef8c8eb1b89ef6048a15dad6d2f605,2.6279761904761907,19,False,2.875,3,0,0,10,9
89d15f0c52218b58a4a6e1ee5550f5a4,2.7770833333333336,20,False,3.0,3,0,0,14,6
d5a67af060cf092edd6f3e5e082498bd,2.75,9,False,2.75,14,0,0,7,2
