name,avg,marks,exam
9824f6017d06963fa092e108694ced19,4.867708333333333,48,False
6b738f33e159910bb1b2240a6152851c,4.500595238095238,37,False
7ce2e0ac8b2ede881c65d8b60aa55b7d,3.6979166666666665,31,False
b437e70c64c6ef0c35d310762c69028f,3.34453125,31,False
9ee36592f891f1ec5a956633ac5e4491,4.338541666666666,22,False
ee2e9a7173cee82d38de94b4478f219e,4.847073412698412,37,False
918f89c25787dda8138e5ec29f461b12,4.863839285714286,38,False
b4411d1af1c3646a7783408ad68816f3,2.5717261904761903,33,False
0788400ed6bdd96448005cfe58a3541a,3.911904761904762,31,False
bf7ed584a44e1ab60faabda489e35f9d,3.8545386904761907,30,False
11f960f29213688834620ca605438aee,4.582886904761905,39,False
a24dffebbc21190905f8491aee6f552e,4.195907738095238,37,False
5b3d65340ba45c3491ac723a4de7b3ce,3.53125,26,False
a4caad5d8c5a6f893d8c3d6a4c6ed3dc,4.8746527777777775,45,False
b2f33509997422933c2c99348385f68d,2.6504464285714286,31,False
762191854aff3030d0746c537fa25ce5,3.152157738095238,25,False
515dea602dfe374dbe2098b4cff44a97,4.5269965277777775,38,False
6a401fc73d281f123cd5b66367af18ef,2.846354166666667,29,False
869a5231e726fd75c03177ca99aec910,3.784821428571429,39,False
f19c6817c86df4ecea95274b94d178da,4.586532738095238,35,False
96c85f7d9e6829fb763532b5971d3d92,4.069047619047619,23,False
49a29f23e149a9ba3d966dd93649a344,3.2140997023809526,34,False
5b7bf1c05d862640cea3707c991b9314,3.5902777777777777,38,False
13a6235bc4077ae47b12f1e8f7b44c02,3.2202380952380953,39,False
f92c07e1358249a9f0ace27883376359,4.483965773809524,45,False
31ea9ba00710bc7c87bebaf6c24aeb8c,3.8666666666666667,31,False
0446d3a2b4e16f8dbc6f3336482d35d3,2.905952380952381,27,False
6f0b35932ea749bca7e56476af9ceb8b,3.684895833333333,25,False
0d34faa0c541676358d0d91862cfb06e,3.853409090909091,34,False
1cf77de5bbaf57ac5a82cd451f42040c,2.6208333333333336,13,False
3eaf85ddc251fbcc2376529a11a2af74,4.548611111111111,27,False
511997ce647bb1a55dac6ac09b6c5716,3.748015873015873,28,False
28db9f6194988e508d4b9fb4f429a5f1,3.130208333333333,23,False
e50abc9dabf75424f0b45a393eebaf4e,3.808531746031746,24,False
1a686e5ec5a14fa6c9b85c32a2664fd0,4.220738636363636,33,False
e60e217121faa7b0a98354533bbf7c41,3.8875,28,False
0903a50dfef75535d0c840bae0917eb6,2.9151041666666666,25,False
4a515f3c03eb6b4b7b18e7bb9fd3d5f1,3.7723958333333334,24,False
93b768b88ac6ff97ecaa37137a377353,3.240625,24,False
f652778c5be25740e483f1c0e9a123db,3.9296875,25,False
f1ba7f3eec2857bf161d07f9439be6f4,3.6713541666666667,28,False
fe7488605f08a87b9d61d16954b82ea9,3.9888392857142856,27,False
6fc56401e2e27c6fa7ee0b2d605b56a5,2.88046875,27,False
911129d31bb01444c6bbc9e1efba848b,4.027083333333334,29,False
31ea9ba00710bc7c87bebaf6c24aeb8c,4.0375,19,False
0446d3a2b4e16f8dbc6f3336482d35d3,2.845833333333333,13,False
6f0b35932ea749bca7e56476af9ceb8b,3.342013888888889,19,False
0d34faa0c541676358d0d91862cfb06e,3.9375,20,False
1cf77de5bbaf57ac5a82cd451f42040c,2.4583333333333335,6,False
3eaf85ddc251fbcc2376529a11a2af74,4.228571428571429,19,False
511997ce647bb1a55dac6ac09b6c5716,3.2395833333333335,16,False
28db9f6194988e508d4b9fb4f429a5f1,3.486111111111111,16,False
e50abc9dabf75424f0b45a393eebaf4e,3.578125,18,False
